#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    42    0.14260E+04    0.14724E+01   -0.10377E-02    0.14724E+01    0.64282E-01   -0.38470E-06   -0.10377E-02   -0.38470E-06    0.16553E-06
    43    0.14328E+04    0.13860E+01   -0.99323E-03    0.13860E+01    0.69534E-01   -0.30447E-06   -0.99323E-03   -0.30447E-06    0.16450E-06
    44    0.14405E+04    0.12871E+01   -0.94974E-03    0.12871E+01    0.75044E-01   -0.25322E-06   -0.94974E-03   -0.25322E-06    0.16346E-06
    45    0.14493E+04    0.11739E+01   -0.90723E-03    0.11739E+01    0.80801E-01   -0.24748E-06   -0.90723E-03   -0.24748E-06    0.16241E-06
    46    0.14591E+04    0.10432E+01   -0.86575E-03    0.10432E+01    0.86803E-01   -0.29774E-06   -0.86575E-03   -0.29774E-06    0.16135E-06
    47    0.14696E+04    0.89672E+00   -0.82544E-03    0.89672E+00    0.93052E-01   -0.39029E-06   -0.82544E-03   -0.39029E-06    0.16029E-06
    48    0.14808E+04    0.74033E+00   -0.78646E-03    0.74033E+00    0.99560E-01   -0.50536E-06   -0.78646E-03   -0.50536E-06    0.15923E-06
    49    0.14926E+04    0.57919E+00   -0.74899E-03    0.57919E+00    0.10631E+00   -0.62316E-06   -0.74899E-03   -0.62316E-06    0.15816E-06
    50    0.15054E+04    0.41170E+00   -0.71318E-03    0.41170E+00    0.11330E+00   -0.72393E-06   -0.71318E-03   -0.72393E-06    0.15710E-06
    51    0.15188E+04    0.23439E+00   -0.67913E-03    0.23439E+00    0.12049E+00   -0.79215E-06   -0.67913E-03   -0.79215E-06    0.15603E-06
    52    0.15330E+04    0.41993E-01   -0.64671E-03    0.41993E-01    0.12796E+00   -0.82941E-06   -0.64671E-03   -0.82941E-06    0.15497E-06
    53    0.15476E+04   -0.16937E+00   -0.61574E-03   -0.16937E+00    0.13587E+00   -0.84155E-06   -0.61574E-03   -0.84155E-06    0.15391E-06
    54    0.15624E+04   -0.39560E+00   -0.58601E-03   -0.39560E+00    0.14419E+00   -0.83442E-06   -0.58601E-03   -0.83442E-06    0.15285E-06
    55    0.15777E+04   -0.63249E+00   -0.55734E-03   -0.63249E+00    0.15290E+00   -0.81386E-06   -0.55734E-03   -0.81386E-06    0.15180E-06
    56    0.15937E+04   -0.88191E+00   -0.52959E-03   -0.88191E+00    0.16186E+00   -0.78501E-06   -0.52959E-03   -0.78501E-06    0.15075E-06
    57    0.16102E+04   -0.11437E+01   -0.50280E-03   -0.11437E+01    0.17096E+00   -0.75018E-06   -0.50280E-03   -0.75018E-06    0.14970E-06
