#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   530    0.24952E+04   -0.24433E+02    0.19853E-04   -0.24433E+02    0.62599E+01    0.33060E-06    0.19853E-04    0.33060E-06    0.15243E-07
   531    0.24969E+04   -0.23139E+02    0.19820E-04   -0.23139E+02    0.62755E+01    0.31539E-06    0.19820E-04    0.31539E-06    0.15195E-07
   532    0.24981E+04   -0.21844E+02    0.19788E-04   -0.21844E+02    0.62963E+01    0.30025E-06    0.19788E-04    0.30025E-06    0.15147E-07
   533    0.24991E+04   -0.20549E+02    0.19758E-04   -0.20549E+02    0.63220E+01    0.28517E-06    0.19758E-04    0.28517E-06    0.15099E-07
   534    0.24999E+04   -0.19254E+02    0.19728E-04   -0.19254E+02    0.63527E+01    0.27015E-06    0.19728E-04    0.27015E-06    0.15052E-07
   535    0.25005E+04   -0.17960E+02    0.19699E-04   -0.17960E+02    0.63886E+01    0.25520E-06    0.19699E-04    0.25520E-06    0.15004E-07
   536    0.25008E+04   -0.16668E+02    0.19671E-04   -0.16668E+02    0.64295E+01    0.24029E-06    0.19671E-04    0.24029E-06    0.14957E-07
   537    0.25010E+04   -0.15378E+02    0.19644E-04   -0.15378E+02    0.64754E+01    0.22544E-06    0.19644E-04    0.22544E-06    0.14911E-07
   538    0.25008E+04   -0.14092E+02    0.19618E-04   -0.14092E+02    0.65266E+01    0.21064E-06    0.19618E-04    0.21064E-06    0.14864E-07
   539    0.25005E+04   -0.12810E+02    0.19593E-04   -0.12810E+02    0.65826E+01    0.19588E-06    0.19593E-04    0.19588E-06    0.14817E-07
   540    0.24999E+04   -0.11532E+02    0.19569E-04   -0.11532E+02    0.66441E+01    0.18117E-06    0.19569E-04    0.18117E-06    0.14771E-07
   541    0.24991E+04   -0.10260E+02    0.19545E-04   -0.10260E+02    0.67104E+01    0.16649E-06    0.19545E-04    0.16649E-06    0.14725E-07
   542    0.24981E+04   -0.89940E+01    0.19523E-04   -0.89940E+01    0.67819E+01    0.15185E-06    0.19523E-04    0.15185E-06    0.14679E-07
   543    0.24968E+04   -0.77350E+01    0.19502E-04   -0.77350E+01    0.68586E+01    0.13725E-06    0.19502E-04    0.13725E-06    0.14633E-07
   544    0.24954E+04   -0.64834E+01    0.19481E-04   -0.64834E+01    0.69403E+01    0.12267E-06    0.19481E-04    0.12267E-06    0.14588E-07
   545    0.24936E+04   -0.52399E+01    0.19462E-04   -0.52399E+01    0.70271E+01    0.10812E-06    0.19462E-04    0.10812E-06    0.14543E-07
   546    0.24918E+04   -0.40056E+01    0.19443E-04   -0.40056E+01    0.71188E+01    0.93601E-07    0.19443E-04    0.93601E-07    0.14497E-07
   547    0.24896E+04   -0.27805E+01    0.19426E-04   -0.27805E+01    0.72155E+01    0.79098E-07    0.19426E-04    0.79098E-07    0.14452E-07
   548    0.24873E+04   -0.15659E+01    0.19409E-04   -0.15659E+01    0.73173E+01    0.64613E-07    0.19409E-04    0.64613E-07    0.14408E-07
   549    0.24847E+04   -0.36242E+00    0.19393E-04   -0.36242E+00    0.74242E+01    0.50143E-07    0.19393E-04    0.50143E-07    0.14363E-07
   550    0.24819E+04    0.82947E+00    0.19378E-04    0.82947E+00    0.75362E+01    0.35685E-07    0.19378E-04    0.35685E-07    0.14319E-07
   551    0.24790E+04    0.20091E+01    0.19364E-04    0.20091E+01    0.76532E+01    0.21237E-07    0.19364E-04    0.21237E-07    0.14274E-07
   552    0.24758E+04    0.31754E+01    0.19351E-04    0.31754E+01    0.77753E+01    0.67993E-08    0.19351E-04    0.67993E-08    0.14230E-07
   553    0.24724E+04    0.43282E+01    0.19339E-04    0.43282E+01    0.79010E+01   -0.76252E-08    0.19339E-04   -0.76252E-08    0.14186E-07
   554    0.24688E+04    0.54666E+01    0.19328E-04    0.54666E+01    0.80333E+01   -0.22035E-07    0.19328E-04   -0.22035E-07    0.14143E-07
   555    0.24650E+04    0.65897E+01    0.19317E-04    0.65897E+01    0.81699E+01   -0.36427E-07    0.19317E-04   -0.36427E-07    0.14099E-07
   556    0.24610E+04    0.76975E+01    0.19307E-04    0.76975E+01    0.83117E+01   -0.50800E-07    0.19307E-04   -0.50800E-07    0.14056E-07
   557    0.24568E+04    0.87881E+01    0.19298E-04    0.87881E+01    0.84577E+01   -0.65152E-07    0.19298E-04   -0.65152E-07    0.14013E-07
   558    0.24524E+04    0.98622E+01    0.19290E-04    0.98622E+01    0.86097E+01   -0.79481E-07    0.19290E-04   -0.79481E-07    0.13970E-07
   559    0.24477E+04    0.10919E+02    0.19283E-04    0.10919E+02    0.87652E+01   -0.93784E-07    0.19283E-04   -0.93784E-07    0.13927E-07
   560    0.24430E+04    0.11957E+02    0.19277E-04    0.11957E+02    0.89252E+01   -0.10806E-06    0.19277E-04   -0.10806E-06    0.13884E-07
   561    0.24379E+04    0.12976E+02    0.19271E-04    0.12976E+02    0.90902E+01   -0.12230E-06    0.19271E-04   -0.12230E-06    0.13842E-07
   562    0.24329E+04    0.13975E+02    0.19267E-04    0.13975E+02    0.92604E+01   -0.13652E-06    0.19267E-04   -0.13652E-06    0.13800E-07
   563    0.24275E+04    0.14957E+02    0.19263E-04    0.14957E+02    0.94343E+01   -0.15070E-06    0.19263E-04   -0.15070E-06    0.13758E-07
   564    0.24221E+04    0.15915E+02    0.19259E-04    0.15915E+02    0.96140E+01   -0.16484E-06    0.19259E-04   -0.16484E-06    0.13716E-07
   565    0.24164E+04    0.16853E+02    0.19257E-04    0.16853E+02    0.97966E+01   -0.17895E-06    0.19257E-04   -0.17895E-06    0.13674E-07
   566    0.24106E+04    0.17769E+02    0.19255E-04    0.17769E+02    0.99843E+01   -0.19302E-06    0.19255E-04   -0.19302E-06    0.13632E-07
   567    0.24046E+04    0.18663E+02    0.19254E-04    0.18663E+02    0.10176E+02   -0.20704E-06    0.19254E-04   -0.20704E-06    0.13591E-07
   568    0.23984E+04    0.19533E+02    0.19254E-04    0.19533E+02    0.10372E+02   -0.22102E-06    0.19254E-04   -0.22102E-06    0.13550E-07
   569    0.23921E+04    0.20383E+02    0.19255E-04    0.20383E+02    0.10573E+02   -0.23495E-06    0.19255E-04   -0.23495E-06    0.13509E-07
   570    0.23856E+04    0.21206E+02    0.19256E-04    0.21206E+02    0.10778E+02   -0.24884E-06    0.19256E-04   -0.24884E-06    0.13468E-07
   571    0.23789E+04    0.22005E+02    0.19258E-04    0.22005E+02    0.10987E+02   -0.26267E-06    0.19258E-04   -0.26267E-06    0.13427E-07
   572    0.23721E+04    0.22779E+02    0.19261E-04    0.22779E+02    0.11200E+02   -0.27645E-06    0.19261E-04   -0.27645E-06    0.13386E-07
   573    0.23652E+04    0.23528E+02    0.19264E-04    0.23528E+02    0.11416E+02   -0.29018E-06    0.19264E-04   -0.29018E-06    0.13346E-07
   574    0.23582E+04    0.24251E+02    0.19269E-04    0.24251E+02    0.11637E+02   -0.30385E-06    0.19269E-04   -0.30385E-06    0.13306E-07
   575    0.23510E+04    0.24948E+02    0.19273E-04    0.24948E+02    0.11861E+02   -0.31746E-06    0.19273E-04   -0.31746E-06    0.13266E-07
   576    0.23437E+04    0.25618E+02    0.19279E-04    0.25618E+02    0.12089E+02   -0.33101E-06    0.19279E-04   -0.33101E-06    0.13226E-07
   577    0.23362E+04    0.26262E+02    0.19285E-04    0.26262E+02    0.12321E+02   -0.34450E-06    0.19285E-04   -0.34450E-06    0.13186E-07
   578    0.23286E+04    0.26877E+02    0.19292E-04    0.26877E+02    0.12556E+02   -0.35792E-06    0.19292E-04   -0.35792E-06    0.13146E-07
   579    0.23209E+04    0.27466E+02    0.19299E-04    0.27466E+02    0.12796E+02   -0.37127E-06    0.19299E-04   -0.37127E-06    0.13107E-07
   580    0.23132E+04    0.28025E+02    0.19308E-04    0.28025E+02    0.13038E+02   -0.38456E-06    0.19308E-04   -0.38456E-06    0.13068E-07
   581    0.23051E+04    0.28556E+02    0.19316E-04    0.28556E+02    0.13284E+02   -0.39777E-06    0.19316E-04   -0.39777E-06    0.13029E-07
   582    0.22971E+04    0.29059E+02    0.19326E-04    0.29059E+02    0.13533E+02   -0.41091E-06    0.19326E-04   -0.41091E-06    0.12990E-07
   583    0.22889E+04    0.29531E+02    0.19336E-04    0.29531E+02    0.13785E+02   -0.42398E-06    0.19336E-04   -0.42398E-06    0.12951E-07
   584    0.22807E+04    0.29974E+02    0.19346E-04    0.29974E+02    0.14040E+02   -0.43697E-06    0.19346E-04   -0.43697E-06    0.12912E-07
   585    0.22724E+04    0.30387E+02    0.19358E-04    0.30387E+02    0.14298E+02   -0.44987E-06    0.19358E-04   -0.44987E-06    0.12874E-07
   586    0.22640E+04    0.30770E+02    0.19370E-04    0.30770E+02    0.14559E+02   -0.46270E-06    0.19370E-04   -0.46270E-06    0.12835E-07
   587    0.22555E+04    0.31123E+02    0.19382E-04    0.31123E+02    0.14823E+02   -0.47544E-06    0.19382E-04   -0.47544E-06    0.12797E-07
   588    0.22469E+04    0.31444E+02    0.19395E-04    0.31444E+02    0.15089E+02   -0.48810E-06    0.19395E-04   -0.48810E-06    0.12759E-07
   589    0.22382E+04    0.31734E+02    0.19409E-04    0.31734E+02    0.15359E+02   -0.50066E-06    0.19409E-04   -0.50066E-06    0.12721E-07
   590    0.22295E+04    0.31994E+02    0.19423E-04    0.31994E+02    0.15629E+02   -0.51314E-06    0.19423E-04   -0.51314E-06    0.12684E-07
   591    0.22207E+04    0.32222E+02    0.19437E-04    0.32222E+02    0.15904E+02   -0.52553E-06    0.19437E-04   -0.52553E-06    0.12646E-07
   592    0.22118E+04    0.32417E+02    0.19453E-04    0.32417E+02    0.16180E+02   -0.53782E-06    0.19453E-04   -0.53782E-06    0.12609E-07
   593    0.22029E+04    0.32582E+02    0.19468E-04    0.32582E+02    0.16459E+02   -0.55001E-06    0.19468E-04   -0.55001E-06    0.12571E-07
   594    0.21938E+04    0.32714E+02    0.19485E-04    0.32714E+02    0.16740E+02   -0.56211E-06    0.19485E-04   -0.56211E-06    0.12534E-07
   595    0.21847E+04    0.32815E+02    0.19502E-04    0.32815E+02    0.17022E+02   -0.57410E-06    0.19502E-04   -0.57410E-06    0.12497E-07
   596    0.21757E+04    0.32883E+02    0.19519E-04    0.32883E+02    0.17307E+02   -0.58599E-06    0.19519E-04   -0.58599E-06    0.12461E-07
   597    0.21666E+04    0.32918E+02    0.19537E-04    0.32918E+02    0.17592E+02   -0.59778E-06    0.19537E-04   -0.59778E-06    0.12424E-07
   598    0.21576E+04    0.32921E+02    0.19555E-04    0.32921E+02    0.17880E+02   -0.60946E-06    0.19555E-04   -0.60946E-06    0.12387E-07
   599    0.21485E+04    0.32892E+02    0.19574E-04    0.32892E+02    0.18169E+02   -0.62103E-06    0.19574E-04   -0.62103E-06    0.12351E-07
   600    0.21393E+04    0.32830E+02    0.19593E-04    0.32830E+02    0.18460E+02   -0.63249E-06    0.19593E-04   -0.63249E-06    0.12315E-07
   601    0.21301E+04    0.32736E+02    0.19613E-04    0.32736E+02    0.18753E+02   -0.64384E-06    0.19613E-04   -0.64384E-06    0.12279E-07
   602    0.21209E+04    0.32607E+02    0.19633E-04    0.32607E+02    0.19046E+02   -0.65507E-06    0.19633E-04   -0.65507E-06    0.12243E-07
   603    0.21116E+04    0.32448E+02    0.19654E-04    0.32448E+02    0.19341E+02   -0.66619E-06    0.19654E-04   -0.66619E-06    0.12207E-07
   604    0.21024E+04    0.32255E+02    0.19675E-04    0.32255E+02    0.19636E+02   -0.67719E-06    0.19675E-04   -0.67719E-06    0.12171E-07
   605    0.20931E+04    0.32030E+02    0.19696E-04    0.32030E+02    0.19932E+02   -0.68808E-06    0.19696E-04   -0.68808E-06    0.12136E-07
   606    0.20840E+04    0.31772E+02    0.19718E-04    0.31772E+02    0.20229E+02   -0.69886E-06    0.19718E-04   -0.69886E-06    0.12101E-07
   607    0.20746E+04    0.31481E+02    0.19740E-04    0.31481E+02    0.20527E+02   -0.70951E-06    0.19740E-04   -0.70951E-06    0.12065E-07
   608    0.20654E+04    0.31157E+02    0.19763E-04    0.31157E+02    0.20826E+02   -0.72005E-06    0.19763E-04   -0.72005E-06    0.12030E-07
   609    0.20562E+04    0.30800E+02    0.19786E-04    0.30800E+02    0.21124E+02   -0.73047E-06    0.19786E-04   -0.73047E-06    0.11995E-07
   610    0.20470E+04    0.30411E+02    0.19809E-04    0.30411E+02    0.21422E+02   -0.74077E-06    0.19809E-04   -0.74077E-06    0.11961E-07
   611    0.20379E+04    0.29989E+02    0.19833E-04    0.29989E+02    0.21721E+02   -0.75096E-06    0.19833E-04   -0.75096E-06    0.11926E-07
   612    0.20288E+04    0.29536E+02    0.19857E-04    0.29536E+02    0.22021E+02   -0.76102E-06    0.19857E-04   -0.76102E-06    0.11891E-07
   613    0.20197E+04    0.29049E+02    0.19881E-04    0.29049E+02    0.22318E+02   -0.77097E-06    0.19881E-04   -0.77097E-06    0.11857E-07
   614    0.20107E+04    0.28530E+02    0.19906E-04    0.28530E+02    0.22617E+02   -0.78079E-06    0.19906E-04   -0.78079E-06    0.11823E-07
   615    0.20016E+04    0.27980E+02    0.19931E-04    0.27980E+02    0.22914E+02   -0.79050E-06    0.19931E-04   -0.79050E-06    0.11789E-07
   616    0.19927E+04    0.27398E+02    0.19956E-04    0.27398E+02    0.23213E+02   -0.80008E-06    0.19956E-04   -0.80008E-06    0.11755E-07
   617    0.19839E+04    0.26784E+02    0.19981E-04    0.26784E+02    0.23510E+02   -0.80954E-06    0.19981E-04   -0.80954E-06    0.11721E-07
   618    0.19750E+04    0.26138E+02    0.20007E-04    0.26138E+02    0.23808E+02   -0.81887E-06    0.20007E-04   -0.81887E-06    0.11687E-07
   619    0.19662E+04    0.25462E+02    0.20032E-04    0.25462E+02    0.24105E+02   -0.82809E-06    0.20032E-04   -0.82809E-06    0.11654E-07
   620    0.19576E+04    0.24755E+02    0.20059E-04    0.24755E+02    0.24399E+02   -0.83717E-06    0.20059E-04   -0.83717E-06    0.11620E-07
   621    0.19489E+04    0.24017E+02    0.20085E-04    0.24017E+02    0.24694E+02   -0.84614E-06    0.20085E-04   -0.84614E-06    0.11587E-07
   622    0.19403E+04    0.23248E+02    0.20111E-04    0.23248E+02    0.24988E+02   -0.85498E-06    0.20111E-04   -0.85498E-06    0.11554E-07
   623    0.19319E+04    0.22450E+02    0.20138E-04    0.22450E+02    0.25279E+02   -0.86369E-06    0.20138E-04   -0.86369E-06    0.11521E-07
   624    0.19235E+04    0.21622E+02    0.20165E-04    0.21622E+02    0.25569E+02   -0.87228E-06    0.20165E-04   -0.87228E-06    0.11488E-07
   625    0.19151E+04    0.20763E+02    0.20191E-04    0.20763E+02    0.25858E+02   -0.88074E-06    0.20191E-04   -0.88074E-06    0.11455E-07
   626    0.19069E+04    0.19876E+02    0.20218E-04    0.19876E+02    0.26145E+02   -0.88907E-06    0.20218E-04   -0.88907E-06    0.11423E-07
   627    0.18988E+04    0.18959E+02    0.20246E-04    0.18959E+02    0.26430E+02   -0.89728E-06    0.20246E-04   -0.89728E-06    0.11390E-07
   628    0.18908E+04    0.18014E+02    0.20273E-04    0.18014E+02    0.26714E+02   -0.90536E-06    0.20273E-04   -0.90536E-06    0.11358E-07
   629    0.18830E+04    0.17041E+02    0.20300E-04    0.17041E+02    0.26995E+02   -0.91330E-06    0.20300E-04   -0.91330E-06    0.11326E-07
   630    0.18751E+04    0.16038E+02    0.20328E-04    0.16038E+02    0.27274E+02   -0.92112E-06    0.20328E-04   -0.92112E-06    0.11293E-07
   631    0.18674E+04    0.15010E+02    0.20355E-04    0.15010E+02    0.27552E+02   -0.92881E-06    0.20355E-04   -0.92881E-06    0.11261E-07
   632    0.18598E+04    0.13953E+02    0.20383E-04    0.13953E+02    0.27826E+02   -0.93637E-06    0.20383E-04   -0.93637E-06    0.11230E-07
   633    0.18523E+04    0.12870E+02    0.20410E-04    0.12870E+02    0.28100E+02   -0.94380E-06    0.20410E-04   -0.94380E-06    0.11198E-07
   634    0.18450E+04    0.11761E+02    0.20438E-04    0.11761E+02    0.28369E+02   -0.95109E-06    0.20438E-04   -0.95109E-06    0.11166E-07
   635    0.18378E+04    0.10626E+02    0.20466E-04    0.10626E+02    0.28636E+02   -0.95825E-06    0.20466E-04   -0.95825E-06    0.11135E-07
   636    0.18307E+04    0.94659E+01    0.20493E-04    0.94659E+01    0.28902E+02   -0.96528E-06    0.20493E-04   -0.96528E-06    0.11104E-07
   637    0.18237E+04    0.82801E+01    0.20521E-04    0.82801E+01    0.29163E+02   -0.97218E-06    0.20521E-04   -0.97218E-06    0.11072E-07
   638    0.18169E+04    0.70706E+01    0.20548E-04    0.70706E+01    0.29422E+02   -0.97894E-06    0.20548E-04   -0.97894E-06    0.11041E-07
   639    0.18102E+04    0.58365E+01    0.20576E-04    0.58365E+01    0.29678E+02   -0.98556E-06    0.20576E-04   -0.98556E-06    0.11010E-07
   640    0.18037E+04    0.45793E+01    0.20603E-04    0.45793E+01    0.29931E+02   -0.99206E-06    0.20603E-04   -0.99206E-06    0.10979E-07
   641    0.17973E+04    0.32989E+01    0.20631E-04    0.32989E+01    0.30181E+02   -0.99841E-06    0.20631E-04   -0.99841E-06    0.10949E-07
   642    0.17909E+04    0.19961E+01    0.20658E-04    0.19961E+01    0.30426E+02   -0.10046E-05    0.20658E-04   -0.10046E-05    0.10918E-07
   643    0.17848E+04    0.67143E+00    0.20685E-04    0.67143E+00    0.30670E+02   -0.10107E-05    0.20685E-04   -0.10107E-05    0.10888E-07
   644    0.17789E+04   -0.67458E+00    0.20712E-04   -0.67458E+00    0.30908E+02   -0.10167E-05    0.20712E-04   -0.10167E-05    0.10857E-07
   645    0.17731E+04   -0.20416E+01    0.20739E-04   -0.20416E+01    0.31143E+02   -0.10225E-05    0.20739E-04   -0.10225E-05    0.10827E-07
   646    0.17674E+04   -0.34291E+01    0.20766E-04   -0.34291E+01    0.31375E+02   -0.10281E-05    0.20766E-04   -0.10281E-05    0.10797E-07
   647    0.17620E+04   -0.48368E+01    0.20793E-04   -0.48368E+01    0.31602E+02   -0.10337E-05    0.20793E-04   -0.10337E-05    0.10767E-07
   648    0.17565E+04   -0.62629E+01    0.20820E-04   -0.62629E+01    0.31826E+02   -0.10391E-05    0.20820E-04   -0.10391E-05    0.10737E-07
   649    0.17514E+04   -0.77082E+01    0.20846E-04   -0.77082E+01    0.32046E+02   -0.10443E-05    0.20846E-04   -0.10443E-05    0.10707E-07
   650    0.17464E+04   -0.91711E+01    0.20872E-04   -0.91711E+01    0.32261E+02   -0.10494E-05    0.20872E-04   -0.10494E-05    0.10677E-07
   651    0.17416E+04   -0.10652E+02    0.20898E-04   -0.10652E+02    0.32473E+02   -0.10544E-05    0.20898E-04   -0.10544E-05    0.10648E-07
   652    0.17369E+04   -0.12149E+02    0.20924E-04   -0.12149E+02    0.32680E+02   -0.10592E-05    0.20924E-04   -0.10592E-05    0.10619E-07
   653    0.17325E+04   -0.13663E+02    0.20949E-04   -0.13663E+02    0.32882E+02   -0.10639E-05    0.20949E-04   -0.10639E-05    0.10589E-07
   654    0.17281E+04   -0.15191E+02    0.20975E-04   -0.15191E+02    0.33080E+02   -0.10684E-05    0.20975E-04   -0.10684E-05    0.10560E-07
   655    0.17239E+04   -0.16734E+02    0.21000E-04   -0.16734E+02    0.33274E+02   -0.10728E-05    0.21000E-04   -0.10728E-05    0.10531E-07
   656    0.17200E+04   -0.18292E+02    0.21025E-04   -0.18292E+02    0.33463E+02   -0.10771E-05    0.21025E-04   -0.10771E-05    0.10502E-07
   657    0.17162E+04   -0.19862E+02    0.21049E-04   -0.19862E+02    0.33648E+02   -0.10812E-05    0.21049E-04   -0.10812E-05    0.10473E-07
   658    0.17125E+04   -0.21446E+02    0.21074E-04   -0.21446E+02    0.33828E+02   -0.10852E-05    0.21074E-04   -0.10852E-05    0.10444E-07
   659    0.17092E+04   -0.23042E+02    0.21098E-04   -0.23042E+02    0.34003E+02   -0.10891E-05    0.21098E-04   -0.10891E-05    0.10416E-07
   660    0.17060E+04   -0.24649E+02    0.21122E-04   -0.24649E+02    0.34172E+02   -0.10928E-05    0.21122E-04   -0.10928E-05    0.10387E-07
   661    0.17030E+04   -0.26266E+02    0.21145E-04   -0.26266E+02    0.34336E+02   -0.10963E-05    0.21145E-04   -0.10963E-05    0.10359E-07
   662    0.17001E+04   -0.27894E+02    0.21169E-04   -0.27894E+02    0.34497E+02   -0.10998E-05    0.21169E-04   -0.10998E-05    0.10331E-07
   663    0.16974E+04   -0.29532E+02    0.21192E-04   -0.29532E+02    0.34652E+02   -0.11031E-05    0.21192E-04   -0.11031E-05    0.10302E-07
   664    0.16949E+04   -0.31178E+02    0.21214E-04   -0.31178E+02    0.34801E+02   -0.11062E-05    0.21214E-04   -0.11062E-05    0.10274E-07
   665    0.16926E+04   -0.32832E+02    0.21237E-04   -0.32832E+02    0.34945E+02   -0.11092E-05    0.21237E-04   -0.11092E-05    0.10246E-07
   666    0.16905E+04   -0.34493E+02    0.21259E-04   -0.34493E+02    0.35083E+02   -0.11121E-05    0.21259E-04   -0.11121E-05    0.10219E-07
   667    0.16886E+04   -0.36161E+02    0.21281E-04   -0.36161E+02    0.35217E+02   -0.11149E-05    0.21281E-04   -0.11149E-05    0.10191E-07
   668    0.16868E+04   -0.37835E+02    0.21303E-04   -0.37835E+02    0.35345E+02   -0.11175E-05    0.21303E-04   -0.11175E-05    0.10163E-07
   669    0.16853E+04   -0.39514E+02    0.21324E-04   -0.39514E+02    0.35468E+02   -0.11200E-05    0.21324E-04   -0.11200E-05    0.10136E-07
   670    0.16839E+04   -0.41196E+02    0.21345E-04   -0.41196E+02    0.35584E+02   -0.11223E-05    0.21345E-04   -0.11223E-05    0.10108E-07
   671    0.16828E+04   -0.42883E+02    0.21365E-04   -0.42883E+02    0.35697E+02   -0.11245E-05    0.21365E-04   -0.11245E-05    0.10081E-07
   672    0.16818E+04   -0.44573E+02    0.21386E-04   -0.44573E+02    0.35803E+02   -0.11266E-05    0.21386E-04   -0.11266E-05    0.10054E-07
   673    0.16811E+04   -0.46265E+02    0.21406E-04   -0.46265E+02    0.35904E+02   -0.11286E-05    0.21406E-04   -0.11286E-05    0.10027E-07
   674    0.16805E+04   -0.47959E+02    0.21425E-04   -0.47959E+02    0.35999E+02   -0.11304E-05    0.21425E-04   -0.11304E-05    0.99996E-08
   675    0.16801E+04   -0.49653E+02    0.21445E-04   -0.49653E+02    0.36088E+02   -0.11320E-05    0.21445E-04   -0.11320E-05    0.99727E-08
   676    0.16799E+04   -0.51347E+02    0.21463E-04   -0.51347E+02    0.36171E+02   -0.11336E-05    0.21463E-04   -0.11336E-05    0.99459E-08
   677    0.16799E+04   -0.53041E+02    0.21482E-04   -0.53041E+02    0.36249E+02   -0.11350E-05    0.21482E-04   -0.11350E-05    0.99192E-08
   678    0.16801E+04   -0.54733E+02    0.21500E-04   -0.54733E+02    0.36320E+02   -0.11363E-05    0.21500E-04   -0.11363E-05    0.98927E-08
   679    0.16805E+04   -0.56423E+02    0.21518E-04   -0.56423E+02    0.36386E+02   -0.11374E-05    0.21518E-04   -0.11374E-05    0.98662E-08
   680    0.16812E+04   -0.58111E+02    0.21535E-04   -0.58111E+02    0.36446E+02   -0.11384E-05    0.21535E-04   -0.11384E-05    0.98398E-08
   681    0.16820E+04   -0.59794E+02    0.21552E-04   -0.59794E+02    0.36500E+02   -0.11393E-05    0.21552E-04   -0.11393E-05    0.98135E-08
   682    0.16829E+04   -0.61474E+02    0.21569E-04   -0.61474E+02    0.36548E+02   -0.11401E-05    0.21569E-04   -0.11401E-05    0.97874E-08
   683    0.16842E+04   -0.63151E+02    0.21585E-04   -0.63151E+02    0.36591E+02   -0.11407E-05    0.21585E-04   -0.11407E-05    0.97613E-08
   684    0.16855E+04   -0.64821E+02    0.21601E-04   -0.64821E+02    0.36627E+02   -0.11412E-05    0.21601E-04   -0.11412E-05    0.97353E-08
   685    0.16870E+04   -0.66485E+02    0.21616E-04   -0.66485E+02    0.36657E+02   -0.11416E-05    0.21616E-04   -0.11416E-05    0.97094E-08
   686    0.16887E+04   -0.68135E+02    0.21631E-04   -0.68135E+02    0.36681E+02   -0.11418E-05    0.21631E-04   -0.11418E-05    0.96837E-08
   687    0.16906E+04   -0.69781E+02    0.21646E-04   -0.69781E+02    0.36700E+02   -0.11419E-05    0.21646E-04   -0.11419E-05    0.96580E-08
   688    0.16927E+04   -0.71420E+02    0.21660E-04   -0.71420E+02    0.36712E+02   -0.11419E-05    0.21660E-04   -0.11419E-05    0.96324E-08
   689    0.16950E+04   -0.73047E+02    0.21674E-04   -0.73047E+02    0.36717E+02   -0.11417E-05    0.21674E-04   -0.11417E-05    0.96069E-08
   690    0.16974E+04   -0.74668E+02    0.21687E-04   -0.74668E+02    0.36718E+02   -0.11415E-05    0.21687E-04   -0.11415E-05    0.95815E-08
   691    0.17001E+04   -0.76275E+02    0.21700E-04   -0.76275E+02    0.36711E+02   -0.11411E-05    0.21700E-04   -0.11411E-05    0.95563E-08
   692    0.17029E+04   -0.77869E+02    0.21712E-04   -0.77869E+02    0.36700E+02   -0.11405E-05    0.21712E-04   -0.11405E-05    0.95311E-08
   693    0.17059E+04   -0.79457E+02    0.21724E-04   -0.79457E+02    0.36682E+02   -0.11399E-05    0.21724E-04   -0.11399E-05    0.95060E-08
   694    0.17090E+04   -0.81025E+02    0.21736E-04   -0.81025E+02    0.36658E+02   -0.11391E-05    0.21736E-04   -0.11391E-05    0.94810E-08
   695    0.17124E+04   -0.82580E+02    0.21746E-04   -0.82580E+02    0.36630E+02   -0.11382E-05    0.21746E-04   -0.11382E-05    0.94561E-08
   696    0.17160E+04   -0.84136E+02    0.21757E-04   -0.84136E+02    0.36594E+02   -0.11372E-05    0.21757E-04   -0.11372E-05    0.94312E-08
   697    0.17197E+04   -0.85664E+02    0.21767E-04   -0.85664E+02    0.36552E+02   -0.11360E-05    0.21767E-04   -0.11360E-05    0.94065E-08
   698    0.17235E+04   -0.87180E+02    0.21776E-04   -0.87180E+02    0.36504E+02   -0.11347E-05    0.21776E-04   -0.11347E-05    0.93819E-08
   699    0.17275E+04   -0.88674E+02    0.21785E-04   -0.88674E+02    0.36451E+02   -0.11333E-05    0.21785E-04   -0.11333E-05    0.93574E-08
   700    0.17317E+04   -0.90156E+02    0.21794E-04   -0.90156E+02    0.36392E+02   -0.11318E-05    0.21794E-04   -0.11318E-05    0.93329E-08
   701    0.17361E+04   -0.91624E+02    0.21802E-04   -0.91624E+02    0.36327E+02   -0.11301E-05    0.21802E-04   -0.11301E-05    0.93086E-08
   702    0.17406E+04   -0.93065E+02    0.21809E-04   -0.93065E+02    0.36256E+02   -0.11283E-05    0.21809E-04   -0.11283E-05    0.92843E-08
   703    0.17453E+04   -0.94508E+02    0.21816E-04   -0.94508E+02    0.36179E+02   -0.11264E-05    0.21816E-04   -0.11264E-05    0.92601E-08
   704    0.17501E+04   -0.95915E+02    0.21823E-04   -0.95915E+02    0.36098E+02   -0.11244E-05    0.21823E-04   -0.11244E-05    0.92361E-08
   705    0.17550E+04   -0.97302E+02    0.21829E-04   -0.97302E+02    0.36009E+02   -0.11223E-05    0.21829E-04   -0.11223E-05    0.92121E-08
   706    0.17602E+04   -0.98675E+02    0.21834E-04   -0.98675E+02    0.35916E+02   -0.11200E-05    0.21834E-04   -0.11200E-05    0.91882E-08
   707    0.17654E+04   -0.10003E+03    0.21839E-04   -0.10003E+03    0.35817E+02   -0.11176E-05    0.21839E-04   -0.11176E-05    0.91644E-08
   708    0.17709E+04   -0.10135E+03    0.21843E-04   -0.10135E+03    0.35712E+02   -0.11151E-05    0.21843E-04   -0.11151E-05    0.91406E-08
