#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.271935E+00   0.746082E+06   0.742769E+06   0.687493E+00   0.687493E+00   0.199206E+05   0.742276E+06   0.745558E+06   0.742276E+06  -0.175296E-01   0.473989E+06   0.473949E+06   0.487243E-01
   0.277284E+00   0.722851E+06   0.719518E+06   0.640620E+00   0.640620E+00   0.187212E+05   0.719142E+06   0.722325E+06   0.719142E+06  -0.169833E-01   0.459217E+06   0.459178E+06   0.476670E-01
   0.282632E+00   0.700623E+06   0.697281E+06   0.597626E+00   0.597626E+00   0.176087E+05   0.697007E+06   0.700094E+06   0.697007E+06  -0.164605E-01   0.445084E+06   0.445045E+06   0.464803E-01
   0.287981E+00   0.679951E+06   0.676634E+06   0.558639E+00   0.558639E+00   0.165897E+05   0.676429E+06   0.679427E+06   0.676429E+06  -0.159745E-01   0.431944E+06   0.431905E+06   0.449657E-01
   0.293330E+00   0.661173E+06   0.657923E+06   0.523578E+00   0.523578E+00   0.156651E+05   0.657742E+06   0.660659E+06   0.657742E+06  -0.155332E-01   0.420012E+06   0.419974E+06   0.430758E-01
   0.298679E+00   0.644269E+06   0.641128E+06   0.492087E+00   0.492087E+00   0.148277E+05   0.640928E+06   0.643773E+06   0.640928E+06  -0.151362E-01   0.409276E+06   0.409239E+06   0.408918E-01
   0.304027E+00   0.628902E+06   0.625895E+06   0.463603E+00   0.463603E+00   0.140658E+05   0.625648E+06   0.628427E+06   0.625648E+06  -0.147753E-01   0.399519E+06   0.399484E+06   0.385767E-01
   0.309376E+00   0.614583E+06   0.611717E+06   0.437526E+00   0.437526E+00   0.133648E+05   0.611413E+06   0.614130E+06   0.611413E+06  -0.144391E-01   0.390430E+06   0.390396E+06   0.363186E-01
   0.314725E+00   0.600844E+06   0.598109E+06   0.413337E+00   0.413337E+00   0.127081E+05   0.597754E+06   0.600412E+06   0.597754E+06  -0.141165E-01   0.381708E+06   0.381675E+06   0.342796E-01
   0.320073E+00   0.587308E+06   0.584681E+06   0.390640E+00   0.390640E+00   0.120843E+05   0.584293E+06   0.586893E+06   0.584293E+06  -0.137987E-01   0.373113E+06   0.373082E+06   0.325586E-01
   0.325422E+00   0.573724E+06   0.571174E+06   0.369165E+00   0.369165E+00   0.114888E+05   0.570780E+06   0.573321E+06   0.570780E+06  -0.134795E-01   0.364484E+06   0.364454E+06   0.311780E-01
   0.330771E+00   0.560007E+06   0.557507E+06   0.348779E+00   0.348779E+00   0.109206E+05   0.557130E+06   0.559612E+06   0.557130E+06  -0.131572E-01   0.355768E+06   0.355738E+06   0.300913E-01
   0.336120E+00   0.546265E+06   0.543794E+06   0.329475E+00   0.329475E+00   0.103802E+05   0.543453E+06   0.545875E+06   0.543453E+06  -0.128342E-01   0.347035E+06   0.347005E+06   0.292075E-01
   0.341468E+00   0.532740E+06   0.530288E+06   0.311326E+00   0.311326E+00   0.986972E+04   0.529989E+06   0.532353E+06   0.529989E+06  -0.125162E-01   0.338438E+06   0.338409E+06   0.284208E-01
   0.346817E+00   0.519693E+06   0.517262E+06   0.294403E+00   0.294403E+00   0.939008E+04   0.517003E+06   0.519309E+06   0.517003E+06  -0.122095E-01   0.330145E+06   0.330116E+06   0.276366E-01
   0.352166E+00   0.507313E+06   0.504912E+06   0.278724E+00   0.278724E+00   0.894065E+04   0.504681E+06   0.506934E+06   0.504681E+06  -0.119185E-01   0.322277E+06   0.322249E+06   0.267912E-01
   0.357514E+00   0.495686E+06   0.493328E+06   0.264247E+00   0.264247E+00   0.852167E+04   0.493112E+06   0.495313E+06   0.493112E+06  -0.116453E-01   0.314890E+06   0.314862E+06   0.258604E-01
   0.362863E+00   0.484814E+06   0.482512E+06   0.250888E+00   0.250888E+00   0.813205E+04   0.482295E+06   0.484450E+06   0.482295E+06  -0.113899E-01   0.307983E+06   0.307956E+06   0.248572E-01
   0.368212E+00   0.474625E+06   0.472390E+06   0.238533E+00   0.238533E+00   0.776819E+04   0.472162E+06   0.474272E+06   0.472162E+06  -0.111506E-01   0.301512E+06   0.301486E+06   0.238213E-01
   0.373560E+00   0.464984E+06   0.462818E+06   0.227046E+00   0.227046E+00   0.742696E+04   0.462574E+06   0.464642E+06   0.462574E+06  -0.109241E-01   0.295390E+06   0.295364E+06   0.228031E-01
   0.378909E+00   0.455715E+06   0.453616E+06   0.216284E+00   0.216284E+00   0.710658E+04   0.453356E+06   0.455383E+06   0.453356E+06  -0.107064E-01   0.289503E+06   0.289479E+06   0.218486E-01
   0.384258E+00   0.446656E+06   0.444617E+06   0.206125E+00   0.206125E+00   0.680438E+04   0.444346E+06   0.446334E+06   0.444346E+06  -0.104937E-01   0.283750E+06   0.283726E+06   0.209894E-01
   0.389607E+00   0.437706E+06   0.435716E+06   0.196487E+00   0.196487E+00   0.651751E+04   0.435443E+06   0.437392E+06   0.435443E+06  -0.102834E-01   0.278065E+06   0.278041E+06   0.202368E-01
   0.394955E+00   0.428832E+06   0.426881E+06   0.187325E+00   0.187325E+00   0.624391E+04   0.426614E+06   0.428524E+06   0.426614E+06  -0.100749E-01   0.272427E+06   0.272404E+06   0.195832E-01
   0.400304E+00   0.420059E+06   0.418139E+06   0.178622E+00   0.178622E+00   0.598172E+04   0.417884E+06   0.419756E+06   0.417884E+06  -0.986876E-02   0.266853E+06   0.266830E+06   0.190064E-01
   0.405653E+00   0.411444E+06   0.409550E+06   0.170374E+00   0.170374E+00   0.573042E+04   0.409311E+06   0.411144E+06   0.409311E+06  -0.966628E-02   0.261378E+06   0.261356E+06   0.184770E-01
   0.411001E+00   0.403058E+06   0.401189E+06   0.162585E+00   0.162585E+00   0.549170E+04   0.400966E+06   0.402763E+06   0.400966E+06  -0.946921E-02   0.256050E+06   0.256028E+06   0.179671E-01
   0.416350E+00   0.394971E+06   0.393128E+06   0.155254E+00   0.155254E+00   0.526642E+04   0.392918E+06   0.394679E+06   0.392918E+06  -0.927915E-02   0.250911E+06   0.250889E+06   0.174555E-01
   0.421699E+00   0.387227E+06   0.385415E+06   0.148373E+00   0.148373E+00   0.505338E+04   0.385213E+06   0.386941E+06   0.385213E+06  -0.909720E-02   0.245991E+06   0.245969E+06   0.169319E-01
   0.427048E+00   0.379839E+06   0.378061E+06   0.141920E+00   0.141920E+00   0.485154E+04   0.377863E+06   0.379558E+06   0.377863E+06  -0.892362E-02   0.241297E+06   0.241276E+06   0.163960E-01
   0.432396E+00   0.372782E+06   0.371042E+06   0.135859E+00   0.135859E+00   0.466055E+04   0.370843E+06   0.372507E+06   0.370843E+06  -0.875784E-02   0.236815E+06   0.236794E+06   0.158563E-01
   0.437745E+00   0.366007E+06   0.364306E+06   0.130150E+00   0.130150E+00   0.447955E+04   0.364104E+06   0.365738E+06   0.364104E+06  -0.859869E-02   0.232511E+06   0.232491E+06   0.153252E-01
   0.443094E+00   0.359457E+06   0.357795E+06   0.124754E+00   0.124754E+00   0.430787E+04   0.357589E+06   0.359195E+06   0.357589E+06  -0.844483E-02   0.228351E+06   0.228332E+06   0.148159E-01
   0.448442E+00   0.353085E+06   0.351459E+06   0.119637E+00   0.119637E+00   0.414506E+04   0.351251E+06   0.352828E+06   0.351251E+06  -0.829514E-02   0.224304E+06   0.224284E+06   0.143387E-01
   0.453791E+00   0.346850E+06   0.345257E+06   0.114771E+00   0.114771E+00   0.399007E+04   0.345049E+06   0.346598E+06   0.345049E+06  -0.814867E-02   0.220343E+06   0.220324E+06   0.138983E-01
   0.459140E+00   0.340723E+06   0.339158E+06   0.110132E+00   0.110132E+00   0.384214E+04   0.338953E+06   0.340476E+06   0.338953E+06  -0.800471E-02   0.216451E+06   0.216432E+06   0.134942E-01
   0.464489E+00   0.334695E+06   0.333156E+06   0.105706E+00   0.105706E+00   0.370152E+04   0.332956E+06   0.334452E+06   0.332956E+06  -0.786309E-02   0.212621E+06   0.212603E+06   0.131212E-01
   0.469837E+00   0.328783E+06   0.327267E+06   0.101488E+00   0.101488E+00   0.356767E+04   0.327074E+06   0.328544E+06   0.327074E+06  -0.772417E-02   0.208865E+06   0.208847E+06   0.127714E-01
   0.475186E+00   0.323014E+06   0.321520E+06   0.974751E-01   0.974751E-01   0.343899E+04   0.321334E+06   0.322778E+06   0.321334E+06  -0.758862E-02   0.205200E+06   0.205182E+06   0.124369E-01
   0.480535E+00   0.317410E+06   0.315938E+06   0.936633E-01   0.936633E-01   0.331471E+04   0.315758E+06   0.317177E+06   0.315758E+06  -0.745693E-02   0.201639E+06   0.201621E+06   0.121105E-01
   0.485883E+00   0.311979E+06   0.310530E+06   0.900448E-01   0.900448E-01   0.319514E+04   0.310354E+06   0.311750E+06   0.310354E+06  -0.732932E-02   0.198188E+06   0.198171E+06   0.117879E-01
   0.491232E+00   0.306724E+06   0.305298E+06   0.866107E-01   0.866107E-01   0.308070E+04   0.305126E+06   0.306498E+06   0.305126E+06  -0.720586E-02   0.194850E+06   0.194833E+06   0.114674E-01
   0.496581E+00   0.301644E+06   0.300243E+06   0.833513E-01   0.833513E-01   0.297204E+04   0.300072E+06   0.301422E+06   0.300072E+06  -0.708651E-02   0.191623E+06   0.191606E+06   0.111504E-01
   0.501929E+00   0.296729E+06   0.295353E+06   0.802551E-01   0.802551E-01   0.286932E+04   0.295183E+06   0.296511E+06   0.295183E+06  -0.697104E-02   0.188501E+06   0.188484E+06   0.108397E-01
   0.507278E+00   0.291959E+06   0.290607E+06   0.773086E-01   0.773086E-01   0.277165E+04   0.290438E+06   0.291745E+06   0.290438E+06  -0.685898E-02   0.185471E+06   0.185455E+06   0.105388E-01
   0.512627E+00   0.287310E+06   0.285983E+06   0.744986E-01   0.744986E-01   0.267831E+04   0.285814E+06   0.287100E+06   0.285814E+06  -0.674978E-02   0.182518E+06   0.182502E+06   0.102504E-01
   0.517976E+00   0.282766E+06   0.281461E+06   0.718139E-01   0.718139E-01   0.258942E+04   0.281293E+06   0.282560E+06   0.281293E+06  -0.664302E-02   0.179631E+06   0.179615E+06   0.997661E-02
   0.523324E+00   0.278316E+06   0.277033E+06   0.692464E-01   0.692464E-01   0.250461E+04   0.276867E+06   0.278113E+06   0.276867E+06  -0.653849E-02   0.176804E+06   0.176789E+06   0.971762E-02
   0.528673E+00   0.273957E+06   0.272694E+06   0.667896E-01   0.667896E-01   0.242296E+04   0.272530E+06   0.273758E+06   0.272530E+06  -0.643608E-02   0.174035E+06   0.174020E+06   0.947247E-02
   0.534022E+00   0.269688E+06   0.268443E+06   0.644382E-01   0.644382E-01   0.234416E+04   0.268283E+06   0.269491E+06   0.268283E+06  -0.633576E-02   0.171323E+06   0.171308E+06   0.923912E-02
   0.539370E+00   0.265509E+06   0.264282E+06   0.621878E-01   0.621878E-01   0.226830E+04   0.264126E+06   0.265315E+06   0.264126E+06  -0.623759E-02   0.168668E+06   0.168654E+06   0.901512E-02
   0.544719E+00   0.261428E+06   0.260219E+06   0.600353E-01   0.600353E-01   0.219530E+04   0.260065E+06   0.261237E+06   0.260065E+06  -0.614170E-02   0.166075E+06   0.166061E+06   0.879822E-02
   0.550068E+00   0.257451E+06   0.256259E+06   0.579777E-01   0.579777E-01   0.212524E+04   0.256108E+06   0.257263E+06   0.256108E+06  -0.604826E-02   0.163549E+06   0.163534E+06   0.858674E-02
   0.555417E+00   0.253580E+06   0.252405E+06   0.560113E-01   0.560113E-01   0.205791E+04   0.252257E+06   0.253394E+06   0.252257E+06  -0.595730E-02   0.161089E+06   0.161075E+06   0.837976E-02
   0.560765E+00   0.249811E+06   0.248654E+06   0.541312E-01   0.541312E-01   0.199270E+04   0.248508E+06   0.249628E+06   0.248508E+06  -0.586876E-02   0.158695E+06   0.158681E+06   0.817707E-02
   0.566114E+00   0.246138E+06   0.244998E+06   0.523323E-01   0.523323E-01   0.192967E+04   0.244854E+06   0.245958E+06   0.244854E+06  -0.578248E-02   0.156362E+06   0.156348E+06   0.797907E-02
   0.571463E+00   0.242557E+06   0.241435E+06   0.506101E-01   0.506101E-01   0.186967E+04   0.241292E+06   0.242379E+06   0.241292E+06  -0.569834E-02   0.154087E+06   0.154074E+06   0.778654E-02
   0.622106E+00   0.212279E+06   0.211297E+06   0.373747E-01   0.373747E-01   0.140861E+04   0.211171E+06   0.212124E+06   0.211171E+06  -0.498701E-02   0.134852E+06   0.134841E+06   0.626967E-02
   0.759842E+00   0.154471E+06   0.153757E+06   0.182306E-01   0.182306E-01   0.714449E+03   0.153663E+06   0.154358E+06   0.153663E+06  -0.362891E-02   0.981289E+05   0.981203E+05   0.375366E-02
   0.928074E+00   0.111849E+06   0.111332E+06   0.884845E-02   0.884845E-02   0.358473E+03   0.111264E+06   0.111767E+06   0.111264E+06  -0.262760E-02   0.710529E+05   0.710466E+05   0.224342E-02
   0.113355E+01   0.806270E+05   0.802544E+05   0.427560E-02   0.427560E-02   0.177369E+03   0.802045E+05   0.805681E+05   0.802045E+05  -0.189411E-02   0.512187E+05   0.512141E+05   0.134046E-02
   0.138452E+01   0.578848E+05   0.576172E+05   0.205761E-02   0.205761E-02   0.869597E+02   0.575812E+05   0.578425E+05   0.575812E+05  -0.135984E-02   0.367715E+05   0.367682E+05   0.802472E-03
   0.169106E+01   0.414033E+05   0.412118E+05   0.986543E-03   0.986543E-03   0.423153E+02   0.411861E+05   0.413730E+05   0.411861E+05  -0.972650E-03   0.263016E+05   0.262991E+05   0.482745E-03
   0.206546E+01   0.295143E+05   0.293777E+05   0.471406E-03   0.471406E-03   0.204400E+02   0.293594E+05   0.294927E+05   0.293594E+05  -0.693351E-03   0.187490E+05   0.187472E+05   0.292926E-03
