#    L    TT             EE             TE             PP             TP          
    73    0.19300E+04    0.34985E+00   -0.70500E+01    0.60667E+07   -0.39506E+04
    74    0.19528E+04    0.36292E+00   -0.75196E+01    0.60252E+07   -0.37877E+04
    75    0.19761E+04    0.37615E+00   -0.80004E+01    0.59839E+07   -0.36339E+04
    76    0.19998E+04    0.38956E+00   -0.84919E+01    0.59427E+07   -0.34896E+04
    77    0.20238E+04    0.40314E+00   -0.89939E+01    0.59016E+07   -0.33547E+04
    78    0.20483E+04    0.41690E+00   -0.95078E+01    0.58606E+07   -0.32290E+04
    79    0.20730E+04    0.43080E+00   -0.10030E+02    0.58198E+07   -0.31123E+04
    80    0.20981E+04    0.44484E+00   -0.10561E+02    0.57791E+07   -0.30046E+04
    81    0.21234E+04    0.45897E+00   -0.11103E+02    0.57386E+07   -0.29055E+04
    82    0.21490E+04    0.47321E+00   -0.11653E+02    0.56983E+07   -0.28139E+04
    83    0.21749E+04    0.48753E+00   -0.12211E+02    0.56581E+07   -0.27285E+04
    84    0.22011E+04    0.50193E+00   -0.12776E+02    0.56182E+07   -0.26481E+04
    85    0.22274E+04    0.51639E+00   -0.13349E+02    0.55785E+07   -0.25714E+04
    86    0.22540E+04    0.53092E+00   -0.13928E+02    0.55389E+07   -0.24974E+04
    87    0.22811E+04    0.54549E+00   -0.14513E+02    0.54996E+07   -0.24255E+04
    88    0.23082E+04    0.56012E+00   -0.15103E+02    0.54605E+07   -0.23556E+04
    89    0.23356E+04    0.57478E+00   -0.15701E+02    0.54216E+07   -0.22874E+04
    90    0.23634E+04    0.58944E+00   -0.16303E+02    0.53829E+07   -0.22206E+04
    91    0.23912E+04    0.60410E+00   -0.16911E+02    0.53445E+07   -0.21549E+04
    92    0.24194E+04    0.61874E+00   -0.17524E+02    0.53062E+07   -0.20905E+04
    93    0.24480E+04    0.63336E+00   -0.18141E+02    0.52683E+07   -0.20270E+04
    94    0.24766E+04    0.64791E+00   -0.18761E+02    0.52305E+07   -0.19647E+04
    95    0.25055E+04    0.66240E+00   -0.19386E+02    0.51930E+07   -0.19033E+04
    96    0.25344E+04    0.67681E+00   -0.20014E+02    0.51557E+07   -0.18429E+04
    97    0.25638E+04    0.69114E+00   -0.20644E+02    0.51187E+07   -0.17834E+04
    98    0.25934E+04    0.70537E+00   -0.21275E+02    0.50819E+07   -0.17248E+04
    99    0.26232E+04    0.71946E+00   -0.21910E+02    0.50453E+07   -0.16670E+04
   100    0.26532E+04    0.73342E+00   -0.22543E+02    0.50090E+07   -0.16100E+04
   101    0.26834E+04    0.74731E+00   -0.23178E+02    0.49730E+07   -0.15537E+04
   102    0.27141E+04    0.76098E+00   -0.23814E+02    0.49372E+07   -0.14981E+04
   103    0.27448E+04    0.77451E+00   -0.24449E+02    0.49017E+07   -0.14432E+04
   104    0.27757E+04    0.78789E+00   -0.25083E+02    0.48664E+07   -0.13889E+04
   105    0.28067E+04    0.80105E+00   -0.25716E+02    0.48314E+07   -0.13352E+04
   106    0.28380E+04    0.81407E+00   -0.26347E+02    0.47967E+07   -0.12820E+04
   107    0.28693E+04    0.82680E+00   -0.26975E+02    0.47622E+07   -0.12293E+04
   108    0.29009E+04    0.83932E+00   -0.27601E+02    0.47280E+07   -0.11771E+04
   109    0.29327E+04    0.85154E+00   -0.28223E+02    0.46941E+07   -0.11252E+04
   110    0.29645E+04    0.86348E+00   -0.28840E+02    0.46605E+07   -0.10738E+04
   111    0.29966E+04    0.87520E+00   -0.29454E+02    0.46271E+07   -0.10226E+04
   112    0.30287E+04    0.88664E+00   -0.30063E+02    0.45941E+07   -0.97183E+03
   113    0.30612E+04    0.89779E+00   -0.30667E+02    0.45613E+07   -0.92139E+03
   114    0.30937E+04    0.90857E+00   -0.31264E+02    0.45288E+07   -0.87132E+03
   115    0.31264E+04    0.91915E+00   -0.31854E+02    0.44966E+07   -0.82166E+03
   116    0.31591E+04    0.92929E+00   -0.32437E+02    0.44647E+07   -0.77240E+03
   117    0.31921E+04    0.93907E+00   -0.33011E+02    0.44330E+07   -0.72358E+03
   118    0.32253E+04    0.94864E+00   -0.33578E+02    0.44016E+07   -0.67522E+03
   119    0.32585E+04    0.95785E+00   -0.34136E+02    0.43706E+07   -0.62732E+03
   120    0.32918E+04    0.96655E+00   -0.34684E+02    0.43397E+07   -0.57991E+03
   121    0.33251E+04    0.97504E+00   -0.35222E+02    0.43092E+07   -0.53301E+03
   122    0.33585E+04    0.98302E+00   -0.35750E+02    0.42790E+07   -0.48664E+03
   123    0.33920E+04    0.99058E+00   -0.36267E+02    0.42490E+07   -0.44081E+03
   124    0.34255E+04    0.99777E+00   -0.36771E+02    0.42193E+07   -0.39555E+03
   125    0.34590E+04    0.10045E+01   -0.37263E+02    0.41899E+07   -0.35086E+03
   126    0.34926E+04    0.10109E+01   -0.37744E+02    0.41607E+07   -0.30678E+03
   127    0.35262E+04    0.10168E+01   -0.38212E+02    0.41319E+07   -0.26332E+03
   128    0.35597E+04    0.10224E+01   -0.38666E+02    0.41033E+07   -0.22050E+03
   129    0.35934E+04    0.10274E+01   -0.39106E+02    0.40750E+07   -0.17833E+03
   130    0.36270E+04    0.10319E+01   -0.39530E+02    0.40470E+07   -0.13684E+03
   131    0.36606E+04    0.10361E+01   -0.39942E+02    0.40192E+07   -0.96039E+02
   132    0.36943E+04    0.10398E+01   -0.40336E+02    0.39917E+07   -0.55950E+02
   133    0.37278E+04    0.10430E+01   -0.40717E+02    0.39645E+07   -0.16585E+02
   134    0.37614E+04    0.10458E+01   -0.41079E+02    0.39376E+07    0.22039E+02
   135    0.37949E+04    0.10481E+01   -0.41425E+02    0.39109E+07    0.59909E+02
   136    0.38283E+04    0.10500E+01   -0.41751E+02    0.38845E+07    0.97007E+02
   137    0.38617E+04    0.10513E+01   -0.42061E+02    0.38584E+07    0.13332E+03
   138    0.38950E+04    0.10522E+01   -0.42352E+02    0.38325E+07    0.16883E+03
   139    0.39281E+04    0.10527E+01   -0.42624E+02    0.38068E+07    0.20353E+03
   140    0.39613E+04    0.10527E+01   -0.42878E+02    0.37814E+07    0.23739E+03
   141    0.39942E+04    0.10521E+01   -0.43110E+02    0.37563E+07    0.27040E+03
