#    L    TT             EE             TE             PP             TP          
    73    0.19388E+04    0.36420E+00   -0.70775E+01    0.76801E+07   -0.20413E+05
    74    0.19633E+04    0.37787E+00   -0.75610E+01    0.76239E+07   -0.19924E+05
    75    0.19882E+04    0.39171E+00   -0.80560E+01    0.75680E+07   -0.19448E+05
    76    0.20134E+04    0.40573E+00   -0.85616E+01    0.75124E+07   -0.18985E+05
    77    0.20389E+04    0.41993E+00   -0.90778E+01    0.74571E+07   -0.18534E+05
    78    0.20648E+04    0.43432E+00   -0.96059E+01    0.74022E+07   -0.18096E+05
    79    0.20909E+04    0.44886E+00   -0.10142E+02    0.73476E+07   -0.17671E+05
    80    0.21173E+04    0.46354E+00   -0.10688E+02    0.72934E+07   -0.17259E+05
    81    0.21439E+04    0.47833E+00   -0.11244E+02    0.72396E+07   -0.16860E+05
    82    0.21708E+04    0.49323E+00   -0.11809E+02    0.71862E+07   -0.16474E+05
    83    0.21979E+04    0.50822E+00   -0.12383E+02    0.71332E+07   -0.16100E+05
    84    0.22252E+04    0.52330E+00   -0.12964E+02    0.70806E+07   -0.15737E+05
    85    0.22527E+04    0.53845E+00   -0.13554E+02    0.70284E+07   -0.15383E+05
    86    0.22804E+04    0.55367E+00   -0.14151E+02    0.69767E+07   -0.15039E+05
    87    0.23086E+04    0.56894E+00   -0.14754E+02    0.69254E+07   -0.14704E+05
    88    0.23367E+04    0.58426E+00   -0.15364E+02    0.68746E+07   -0.14377E+05
    89    0.23652E+04    0.59963E+00   -0.15982E+02    0.68241E+07   -0.14058E+05
    90    0.23939E+04    0.61501E+00   -0.16605E+02    0.67741E+07   -0.13747E+05
    91    0.24228E+04    0.63039E+00   -0.17234E+02    0.67245E+07   -0.13444E+05
    92    0.24520E+04    0.64575E+00   -0.17867E+02    0.66754E+07   -0.13148E+05
    93    0.24815E+04    0.66108E+00   -0.18505E+02    0.66266E+07   -0.12859E+05
    94    0.25110E+04    0.67636E+00   -0.19147E+02    0.65783E+07   -0.12578E+05
    95    0.25409E+04    0.69157E+00   -0.19792E+02    0.65305E+07   -0.12303E+05
    96    0.25708E+04    0.70671E+00   -0.20442E+02    0.64830E+07   -0.12035E+05
    97    0.26011E+04    0.72176E+00   -0.21094E+02    0.64359E+07   -0.11774E+05
    98    0.26316E+04    0.73671E+00   -0.21747E+02    0.63893E+07   -0.11520E+05
    99    0.26623E+04    0.75153E+00   -0.22403E+02    0.63431E+07   -0.11271E+05
