#    L    TT             EE             BB             TE          
    91    0.23935E+04    0.60593E+00    0.22533E-02   -0.16906E+02
    92    0.24218E+04    0.62060E+00    0.23034E-02   -0.17518E+02
    93    0.24503E+04    0.63524E+00    0.23541E-02   -0.18134E+02
    94    0.24789E+04    0.64982E+00    0.24054E-02   -0.18754E+02
    95    0.25078E+04    0.66434E+00    0.24573E-02   -0.19377E+02
    96    0.25368E+04    0.67878E+00    0.25098E-02   -0.20004E+02
    97    0.25662E+04    0.69313E+00    0.25629E-02   -0.20634E+02
    98    0.25959E+04    0.70739E+00    0.26167E-02   -0.21263E+02
    99    0.26256E+04    0.72151E+00    0.26711E-02   -0.21897E+02
   100    0.26556E+04    0.73550E+00    0.27261E-02   -0.22529E+02
   101    0.26859E+04    0.74942E+00    0.27817E-02   -0.23163E+02
   102    0.27166E+04    0.76312E+00    0.28380E-02   -0.23797E+02
   103    0.27473E+04    0.77668E+00    0.28948E-02   -0.24431E+02
   104    0.27782E+04    0.79009E+00    0.29524E-02   -0.25063E+02
   105    0.28093E+04    0.80328E+00    0.30106E-02   -0.25694E+02
   106    0.28406E+04    0.81633E+00    0.30694E-02   -0.26324E+02
   107    0.28718E+04    0.82909E+00    0.31288E-02   -0.26950E+02
   108    0.29035E+04    0.84164E+00    0.31890E-02   -0.27574E+02
   109    0.29353E+04    0.85389E+00    0.32497E-02   -0.28195E+02
   110    0.29671E+04    0.86586E+00    0.33112E-02   -0.28810E+02
   111    0.29992E+04    0.87762E+00    0.33733E-02   -0.29422E+02
   112    0.30313E+04    0.88909E+00    0.34360E-02   -0.30029E+02
   113    0.30638E+04    0.90027E+00    0.34995E-02   -0.30631E+02
   114    0.30963E+04    0.91109E+00    0.35636E-02   -0.31226E+02
   115    0.31290E+04    0.92170E+00    0.36284E-02   -0.31814E+02
   116    0.31617E+04    0.93188E+00    0.36938E-02   -0.32394E+02
   117    0.31947E+04    0.94170E+00    0.37600E-02   -0.32967E+02
   118    0.32279E+04    0.95131E+00    0.38268E-02   -0.33532E+02
   119    0.32610E+04    0.96056E+00    0.38944E-02   -0.34087E+02
   120    0.32944E+04    0.96930E+00    0.39626E-02   -0.34632E+02
   121    0.33277E+04    0.97784E+00    0.40315E-02   -0.35168E+02
   122    0.33610E+04    0.98587E+00    0.41012E-02   -0.35693E+02
   123    0.33945E+04    0.99346E+00    0.41715E-02   -0.36208E+02
   124    0.34280E+04    0.10007E+01    0.42426E-02   -0.36709E+02
   125    0.34615E+04    0.10075E+01    0.43144E-02   -0.37199E+02
   126    0.34950E+04    0.10140E+01    0.43870E-02   -0.37677E+02
   127    0.35286E+04    0.10199E+01    0.44603E-02   -0.38142E+02
   128    0.35621E+04    0.10255E+01    0.45343E-02   -0.38593E+02
   129    0.35957E+04    0.10306E+01    0.46090E-02   -0.39030E+02
   130    0.36293E+04    0.10352E+01    0.46846E-02   -0.39452E+02
   131    0.36628E+04    0.10394E+01    0.47609E-02   -0.39860E+02
   132    0.36964E+04    0.10432E+01    0.48379E-02   -0.40252E+02
   133    0.37300E+04    0.10465E+01    0.49158E-02   -0.40630E+02
   134    0.37635E+04    0.10494E+01    0.49944E-02   -0.40988E+02
   135    0.37970E+04    0.10518E+01    0.50738E-02   -0.41331E+02
   136    0.38303E+04    0.10536E+01    0.51540E-02   -0.41655E+02
   137    0.38636E+04    0.10551E+01    0.52351E-02   -0.41962E+02
   138    0.38969E+04    0.10561E+01    0.53169E-02   -0.42250E+02
   139    0.39299E+04    0.10567E+01    0.53996E-02   -0.42518E+02
