#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.15665E+04    0.46006E+01   -0.80480E-02    0.46006E+01    0.38692E-01   -0.17605E-04   -0.80480E-02   -0.17605E-04    0.11461E-06
     3    0.16500E+04    0.50030E+01   -0.88299E-02    0.50030E+01    0.54482E-01   -0.19339E-04   -0.88299E-02   -0.19339E-04    0.13641E-06
     4    0.15907E+04    0.44841E+01   -0.90372E-02    0.44841E+01    0.52909E-01   -0.17875E-04   -0.90372E-02   -0.17875E-04    0.15354E-06
     5    0.14998E+04    0.36631E+01   -0.89864E-02    0.36631E+01    0.40223E-01   -0.14509E-04   -0.89864E-02   -0.14509E-04    0.16746E-06
     6    0.14102E+04    0.28456E+01   -0.88109E-02    0.28456E+01    0.25431E-01   -0.10323E-04   -0.88109E-02   -0.10323E-04    0.17889E-06
     7    0.13320E+04    0.21602E+01   -0.85740E-02    0.21602E+01    0.14303E-01   -0.62112E-05   -0.85740E-02   -0.62112E-05    0.18838E-06
     8    0.12674E+04    0.16481E+01   -0.83110E-02    0.16481E+01    0.81641E-02   -0.28501E-05   -0.83110E-02   -0.28501E-05    0.19631E-06
     9    0.12153E+04    0.13040E+01   -0.80422E-02    0.13040E+01    0.56197E-02   -0.64043E-06   -0.80422E-02   -0.64043E-06    0.20297E-06
    10    0.11733E+04    0.11016E+01   -0.77736E-02    0.11016E+01    0.47200E-02    0.38508E-06   -0.77736E-02    0.38508E-06    0.20855E-06
    11    0.11392E+04    0.10036E+01   -0.75084E-02    0.10036E+01    0.42037E-02    0.48391E-06   -0.75084E-02    0.48391E-06    0.21327E-06
    12    0.11129E+04    0.97839E+00   -0.72452E-02    0.97839E+00    0.37792E-02   -0.23653E-07   -0.72452E-02   -0.23653E-07    0.21721E-06
    13    0.10920E+04    0.10014E+01   -0.69868E-02    0.10014E+01    0.32294E-02   -0.90779E-06   -0.69868E-02   -0.90779E-06    0.22048E-06
    14    0.10751E+04    0.10493E+01   -0.67372E-02    0.10493E+01    0.29797E-02   -0.19432E-05   -0.67372E-02   -0.19432E-05    0.22319E-06
    15    0.10621E+04    0.11057E+01   -0.64990E-02    0.11057E+01    0.30049E-02   -0.28234E-05   -0.64990E-02   -0.28234E-05    0.22542E-06
    16    0.10533E+04    0.11585E+01   -0.62735E-02    0.11585E+01    0.31594E-02   -0.32855E-05   -0.62735E-02   -0.32855E-05    0.22721E-06
    17    0.10482E+04    0.12053E+01   -0.60589E-02    0.12053E+01    0.34871E-02   -0.33212E-05   -0.60589E-02   -0.33212E-05    0.22864E-06
    18    0.10455E+04    0.12482E+01   -0.58531E-02    0.12482E+01    0.38948E-02   -0.30180E-05   -0.58531E-02   -0.30180E-05    0.22975E-06
    19    0.10457E+04    0.12945E+01   -0.56552E-02    0.12945E+01    0.43992E-02   -0.25934E-05   -0.56552E-02   -0.25934E-05    0.23057E-06
    20    0.10470E+04    0.13476E+01   -0.54650E-02    0.13476E+01    0.50841E-02   -0.22429E-05   -0.54650E-02   -0.22429E-05    0.23111E-06
    21    0.10497E+04    0.14049E+01   -0.52829E-02    0.14049E+01    0.59245E-02   -0.19457E-05   -0.52829E-02   -0.19457E-05    0.23143E-06
    22    0.10539E+04    0.14626E+01   -0.51090E-02    0.14626E+01    0.69492E-02   -0.16516E-05   -0.51090E-02   -0.16516E-05    0.23154E-06
    23    0.10594E+04    0.15206E+01   -0.49425E-02    0.15206E+01    0.81517E-02   -0.14087E-05   -0.49425E-02   -0.14087E-05    0.23149E-06
    24    0.10660E+04    0.15798E+01   -0.47823E-02    0.15798E+01    0.94918E-02   -0.12832E-05   -0.47823E-02   -0.12832E-05    0.23127E-06
    25    0.10736E+04    0.16410E+01   -0.46283E-02    0.16410E+01    0.11002E-01   -0.13162E-05   -0.46283E-02   -0.13162E-05    0.23090E-06
    26    0.10819E+04    0.17049E+01   -0.44802E-02    0.17049E+01    0.12684E-01   -0.15086E-05   -0.44802E-02   -0.15086E-05    0.23041E-06
    27    0.10913E+04    0.17645E+01   -0.43381E-02    0.17645E+01    0.14519E-01   -0.17237E-05   -0.43381E-02   -0.17237E-05    0.22981E-06
    28    0.11014E+04    0.18133E+01   -0.42021E-02    0.18133E+01    0.16510E-01   -0.18212E-05   -0.42021E-02   -0.18212E-05    0.22911E-06
    29    0.11122E+04    0.18510E+01   -0.40714E-02    0.18510E+01    0.18671E-01   -0.17826E-05   -0.40714E-02   -0.17826E-05    0.22832E-06
    30    0.11237E+04    0.18782E+01   -0.39452E-02    0.18782E+01    0.21021E-01   -0.16364E-05   -0.39452E-02   -0.16364E-05    0.22742E-06
    31    0.11356E+04    0.18987E+01   -0.38236E-02    0.18987E+01    0.23573E-01   -0.14792E-05   -0.38236E-02   -0.14792E-05    0.22645E-06
    32    0.11481E+04    0.19156E+01   -0.37069E-02    0.19156E+01    0.26326E-01   -0.13990E-05   -0.37069E-02   -0.13990E-05    0.22542E-06
    33    0.11613E+04    0.19255E+01   -0.35949E-02    0.19255E+01    0.29279E-01   -0.13818E-05   -0.35949E-02   -0.13818E-05    0.22434E-06
    34    0.11750E+04    0.19251E+01   -0.34873E-02    0.19251E+01    0.32445E-01   -0.13847E-05   -0.34873E-02   -0.13847E-05    0.22320E-06
    35    0.11891E+04    0.19158E+01   -0.33839E-02    0.19158E+01    0.35842E-01   -0.13510E-05   -0.33839E-02   -0.13510E-05    0.22202E-06
    36    0.12034E+04    0.18985E+01   -0.32845E-02    0.18985E+01    0.39488E-01   -0.12430E-05   -0.32845E-02   -0.12430E-05    0.22079E-06
    37    0.12180E+04    0.18716E+01   -0.31884E-02    0.18716E+01    0.43372E-01   -0.11130E-05   -0.31884E-02   -0.11130E-05    0.21954E-06
    38    0.12332E+04    0.18353E+01   -0.30950E-02    0.18353E+01    0.47487E-01   -0.10202E-05   -0.30950E-02   -0.10202E-05    0.21825E-06
    39    0.12489E+04    0.17895E+01   -0.30044E-02    0.17895E+01    0.51836E-01   -0.96110E-06   -0.30044E-02   -0.96110E-06    0.21693E-06
    40    0.12649E+04    0.17337E+01   -0.29170E-02    0.17337E+01    0.56435E-01   -0.91645E-06   -0.29170E-02   -0.91645E-06    0.21559E-06
    41    0.12813E+04    0.16673E+01   -0.28329E-02    0.16673E+01    0.61298E-01   -0.87070E-06   -0.28329E-02   -0.87070E-06    0.21423E-06
    42    0.12978E+04    0.15894E+01   -0.27520E-02    0.15894E+01    0.66435E-01   -0.82267E-06   -0.27520E-02   -0.82267E-06    0.21284E-06
    43    0.13146E+04    0.14990E+01   -0.26742E-02    0.14990E+01    0.71852E-01   -0.77480E-06   -0.26742E-02   -0.77480E-06    0.21144E-06
    44    0.13315E+04    0.13961E+01   -0.25991E-02    0.13961E+01    0.77541E-01   -0.72951E-06   -0.25991E-02   -0.72951E-06    0.21002E-06
    45    0.13489E+04    0.12805E+01   -0.25266E-02    0.12805E+01    0.83504E-01   -0.68924E-06   -0.25266E-02   -0.68924E-06    0.20859E-06
    46    0.13666E+04    0.11507E+01   -0.24565E-02    0.11507E+01    0.89745E-01   -0.65729E-06   -0.24565E-02   -0.65729E-06    0.20715E-06
    47    0.13846E+04    0.10077E+01   -0.23887E-02    0.10077E+01    0.96261E-01   -0.64042E-06   -0.23887E-02   -0.64042E-06    0.20571E-06
    48    0.14027E+04    0.85585E+00   -0.23232E-02    0.85585E+00    0.10306E+00   -0.64623E-06   -0.23232E-02   -0.64623E-06    0.20426E-06
    49    0.14211E+04    0.69907E+00   -0.22600E-02    0.69907E+00    0.11011E+00   -0.68236E-06   -0.22600E-02   -0.68236E-06    0.20280E-06
    50    0.14399E+04    0.53442E+00   -0.21990E-02    0.53442E+00    0.11740E+00   -0.75643E-06   -0.21990E-02   -0.75643E-06    0.20135E-06
    51    0.14589E+04    0.35741E+00   -0.21401E-02    0.35741E+00    0.12489E+00   -0.87027E-06   -0.21401E-02   -0.87027E-06    0.19989E-06
    52    0.14784E+04    0.16301E+00   -0.20833E-02    0.16301E+00    0.13266E+00   -0.10026E-05   -0.20833E-02   -0.10026E-05    0.19844E-06
    53    0.14980E+04   -0.52105E-01   -0.20282E-02   -0.52105E-01    0.14088E+00   -0.11263E-05   -0.20282E-02   -0.11263E-05    0.19698E-06
    54    0.15175E+04   -0.28328E+00   -0.19749E-02   -0.28328E+00    0.14954E+00   -0.12144E-05   -0.19749E-02   -0.12144E-05    0.19553E-06
    55    0.15373E+04   -0.52576E+00   -0.19231E-02   -0.52576E+00    0.15860E+00   -0.12396E-05   -0.19231E-02   -0.12396E-05    0.19408E-06
    56    0.15574E+04   -0.78093E+00   -0.18727E-02   -0.78093E+00    0.16793E+00   -0.11847E-05   -0.18727E-02   -0.11847E-05    0.19263E-06
    57    0.15779E+04   -0.10485E+01   -0.18237E-02   -0.10485E+01    0.17743E+00   -0.10706E-05   -0.18237E-02   -0.10706E-05    0.19119E-06
    58    0.15987E+04   -0.13291E+01   -0.17760E-02   -0.13291E+01    0.18709E+00   -0.92784E-06   -0.17760E-02   -0.92784E-06    0.18976E-06
    59    0.16197E+04   -0.16231E+01   -0.17297E-02   -0.16231E+01    0.19695E+00   -0.78710E-06   -0.17297E-02   -0.78710E-06    0.18832E-06
    60    0.16408E+04   -0.19298E+01   -0.16848E-02   -0.19298E+01    0.20707E+00   -0.67898E-06   -0.16848E-02   -0.67898E-06    0.18690E-06
    61    0.16626E+04   -0.22482E+01   -0.16413E-02   -0.22482E+01    0.21753E+00   -0.62679E-06   -0.16413E-02   -0.62679E-06    0.18547E-06
    62    0.16842E+04   -0.25792E+01   -0.15992E-02   -0.25792E+01    0.22832E+00   -0.62460E-06   -0.15992E-02   -0.62460E-06    0.18406E-06
    63    0.17060E+04   -0.29239E+01   -0.15584E-02   -0.29239E+01    0.23941E+00   -0.65919E-06   -0.15584E-02   -0.65919E-06    0.18265E-06
    64    0.17282E+04   -0.32836E+01   -0.15191E-02   -0.32836E+01    0.25080E+00   -0.71733E-06   -0.15191E-02   -0.71733E-06    0.18125E-06
    65    0.17504E+04   -0.36592E+01   -0.14811E-02   -0.36592E+01    0.26248E+00   -0.78578E-06   -0.14811E-02   -0.78578E-06    0.17985E-06
    66    0.17730E+04   -0.40487E+01   -0.14445E-02   -0.40487E+01    0.27438E+00   -0.85280E-06   -0.14445E-02   -0.85280E-06    0.17847E-06
    67    0.17959E+04   -0.44497E+01   -0.14092E-02   -0.44497E+01    0.28649E+00   -0.91260E-06   -0.14092E-02   -0.91260E-06    0.17710E-06
    68    0.18191E+04   -0.48606E+01   -0.13749E-02   -0.48606E+01    0.29887E+00   -0.96086E-06   -0.13749E-02   -0.96086E-06    0.17574E-06
    69    0.18426E+04   -0.52799E+01   -0.13417E-02   -0.52799E+01    0.31147E+00   -0.99326E-06   -0.13417E-02   -0.99326E-06    0.17439E-06
    70    0.18664E+04   -0.57093E+01   -0.13093E-02   -0.57093E+01    0.32431E+00   -0.10055E-05   -0.13093E-02   -0.10055E-05    0.17305E-06
    71    0.18903E+04   -0.61513E+01   -0.12777E-02   -0.61513E+01    0.33741E+00   -0.99503E-06   -0.12777E-02   -0.99503E-06    0.17172E-06
    72    0.19145E+04   -0.66073E+01   -0.12467E-02   -0.66073E+01    0.35071E+00   -0.96648E-06   -0.12467E-02   -0.96648E-06    0.17040E-06
    73    0.19388E+04   -0.70775E+01   -0.12166E-02   -0.70775E+01    0.36420E+00   -0.92626E-06   -0.12166E-02   -0.92626E-06    0.16909E-06
    74    0.19633E+04   -0.75610E+01   -0.11871E-02   -0.75610E+01    0.37787E+00   -0.88075E-06   -0.11871E-02   -0.88075E-06    0.16779E-06
    75    0.19882E+04   -0.80560E+01   -0.11585E-02   -0.80560E+01    0.39171E+00   -0.83638E-06   -0.11585E-02   -0.83638E-06    0.16650E-06
    76    0.20134E+04   -0.85616E+01   -0.11306E-02   -0.85616E+01    0.40573E+00   -0.79886E-06   -0.11306E-02   -0.79886E-06    0.16522E-06
    77    0.20389E+04   -0.90778E+01   -0.11034E-02   -0.90778E+01    0.41993E+00   -0.77130E-06   -0.11034E-02   -0.77130E-06    0.16395E-06
    78    0.20648E+04   -0.96059E+01   -0.10771E-02   -0.96059E+01    0.43432E+00   -0.75613E-06   -0.10771E-02   -0.75613E-06    0.16269E-06
    79    0.20909E+04   -0.10142E+02   -0.10515E-02   -0.10142E+02    0.44886E+00   -0.75576E-06   -0.10515E-02   -0.75576E-06    0.16144E-06
    80    0.21173E+04   -0.10688E+02   -0.10268E-02   -0.10688E+02    0.46354E+00   -0.77264E-06   -0.10268E-02   -0.77264E-06    0.16019E-06
    81    0.21439E+04   -0.11244E+02   -0.10028E-02   -0.11244E+02    0.47833E+00   -0.80776E-06   -0.10028E-02   -0.80776E-06    0.15896E-06
    82    0.21708E+04   -0.11809E+02   -0.97967E-03   -0.11809E+02    0.49323E+00   -0.85650E-06   -0.97967E-03   -0.85650E-06    0.15774E-06
    83    0.21979E+04   -0.12383E+02   -0.95720E-03   -0.12383E+02    0.50822E+00   -0.91281E-06   -0.95720E-03   -0.91281E-06    0.15654E-06
    84    0.22252E+04   -0.12964E+02   -0.93540E-03   -0.12964E+02    0.52330E+00   -0.97062E-06   -0.93540E-03   -0.97062E-06    0.15534E-06
    85    0.22527E+04   -0.13554E+02   -0.91420E-03   -0.13554E+02    0.53845E+00   -0.10239E-05   -0.91420E-03   -0.10239E-05    0.15415E-06
    86    0.22804E+04   -0.14151E+02   -0.89357E-03   -0.14151E+02    0.55367E+00   -0.10677E-05   -0.89357E-03   -0.10677E-05    0.15298E-06
    87    0.23086E+04   -0.14754E+02   -0.87347E-03   -0.14754E+02    0.56894E+00   -0.11020E-05   -0.87347E-03   -0.11020E-05    0.15181E-06
    88    0.23367E+04   -0.15364E+02   -0.85388E-03   -0.15364E+02    0.58426E+00   -0.11276E-05   -0.85388E-03   -0.11276E-05    0.15066E-06
    89    0.23652E+04   -0.15982E+02   -0.83479E-03   -0.15982E+02    0.59963E+00   -0.11457E-05   -0.83479E-03   -0.11457E-05    0.14951E-06
    90    0.23939E+04   -0.16605E+02   -0.81618E-03   -0.16605E+02    0.61501E+00   -0.11572E-05   -0.81618E-03   -0.11572E-05    0.14838E-06
    91    0.24228E+04   -0.17234E+02   -0.79803E-03   -0.17234E+02    0.63039E+00   -0.11630E-05   -0.79803E-03   -0.11630E-05    0.14726E-06
    92    0.24520E+04   -0.17867E+02   -0.78032E-03   -0.17867E+02    0.64575E+00   -0.11636E-05   -0.78032E-03   -0.11636E-05    0.14615E-06
    93    0.24815E+04   -0.18505E+02   -0.76306E-03   -0.18505E+02    0.66108E+00   -0.11596E-05   -0.76306E-03   -0.11596E-05    0.14505E-06
    94    0.25110E+04   -0.19147E+02   -0.74622E-03   -0.19147E+02    0.67636E+00   -0.11514E-05   -0.74622E-03   -0.11514E-05    0.14396E-06
    95    0.25409E+04   -0.19792E+02   -0.72981E-03   -0.19792E+02    0.69157E+00   -0.11395E-05   -0.72981E-03   -0.11395E-05    0.14288E-06
    96    0.25708E+04   -0.20442E+02   -0.71380E-03   -0.20442E+02    0.70671E+00   -0.11244E-05   -0.71380E-03   -0.11244E-05    0.14181E-06
    97    0.26011E+04   -0.21094E+02   -0.69820E-03   -0.21094E+02    0.72176E+00   -0.11064E-05   -0.69820E-03   -0.11064E-05    0.14075E-06
    98    0.26316E+04   -0.21747E+02   -0.68300E-03   -0.21747E+02    0.73671E+00   -0.10861E-05   -0.68300E-03   -0.10861E-05    0.13970E-06
    99    0.26623E+04   -0.22403E+02   -0.66817E-03   -0.22403E+02    0.75153E+00   -0.10639E-05   -0.66817E-03   -0.10639E-05    0.13866E-06
   100    0.26932E+04   -0.23059E+02   -0.65373E-03   -0.23059E+02    0.76621E+00   -0.10404E-05   -0.65373E-03   -0.10404E-05    0.13763E-06
   101    0.27243E+04   -0.23716E+02   -0.63965E-03   -0.23716E+02    0.78081E+00   -0.10159E-05   -0.63965E-03   -0.10159E-05    0.13661E-06
   102    0.27559E+04   -0.24374E+02   -0.62593E-03   -0.24374E+02    0.79519E+00   -0.99096E-06   -0.62593E-03   -0.99096E-06    0.13560E-06
   103    0.27874E+04   -0.25033E+02   -0.61255E-03   -0.25033E+02    0.80943E+00   -0.96602E-06   -0.61255E-03   -0.96602E-06    0.13460E-06
   104    0.28192E+04   -0.25689E+02   -0.59952E-03   -0.25689E+02    0.82351E+00   -0.94155E-06   -0.59952E-03   -0.94155E-06    0.13361E-06
   105    0.28511E+04   -0.26345E+02   -0.58681E-03   -0.26345E+02    0.83737E+00   -0.91801E-06   -0.58681E-03   -0.91801E-06    0.13263E-06
   106    0.28833E+04   -0.26999E+02   -0.57443E-03   -0.26999E+02    0.85108E+00   -0.89587E-06   -0.57443E-03   -0.89587E-06    0.13166E-06
   107    0.29154E+04   -0.27651E+02   -0.56236E-03   -0.27651E+02    0.86449E+00   -0.87560E-06   -0.56236E-03   -0.87560E-06    0.13070E-06
   108    0.29479E+04   -0.28301E+02   -0.55059E-03   -0.28301E+02    0.87768E+00   -0.85766E-06   -0.55059E-03   -0.85766E-06    0.12975E-06
   109    0.29806E+04   -0.28947E+02   -0.53911E-03   -0.28947E+02    0.89057E+00   -0.84252E-06   -0.53911E-03   -0.84252E-06    0.12881E-06
   110    0.30133E+04   -0.29588E+02   -0.52792E-03   -0.29588E+02    0.90317E+00   -0.83065E-06   -0.52792E-03   -0.83065E-06    0.12787E-06
   111    0.30462E+04   -0.30226E+02   -0.51701E-03   -0.30226E+02    0.91554E+00   -0.82239E-06   -0.51701E-03   -0.82239E-06    0.12695E-06
   112    0.30793E+04   -0.30859E+02   -0.50636E-03   -0.30859E+02    0.92761E+00   -0.81760E-06   -0.50636E-03   -0.81760E-06    0.12603E-06
   113    0.31126E+04   -0.31487E+02   -0.49598E-03   -0.31487E+02    0.93938E+00   -0.81602E-06   -0.49598E-03   -0.81602E-06    0.12513E-06
   114    0.31459E+04   -0.32109E+02   -0.48585E-03   -0.32109E+02    0.95078E+00   -0.81739E-06   -0.48585E-03   -0.81739E-06    0.12423E-06
   115    0.31796E+04   -0.32723E+02   -0.47597E-03   -0.32723E+02    0.96196E+00   -0.82146E-06   -0.47597E-03   -0.82146E-06    0.12334E-06
   116    0.32132E+04   -0.33331E+02   -0.46633E-03   -0.33331E+02    0.97269E+00   -0.82795E-06   -0.46633E-03   -0.82795E-06    0.12246E-06
   117    0.32471E+04   -0.33930E+02   -0.45693E-03   -0.33930E+02    0.98305E+00   -0.83662E-06   -0.45693E-03   -0.83662E-06    0.12159E-06
   118    0.32812E+04   -0.34522E+02   -0.44776E-03   -0.34522E+02    0.99318E+00   -0.84720E-06   -0.44776E-03   -0.84720E-06    0.12073E-06
   119    0.33153E+04   -0.35104E+02   -0.43881E-03   -0.35104E+02    0.10029E+01   -0.85943E-06   -0.43881E-03   -0.85943E-06    0.11987E-06
   120    0.33495E+04   -0.35676E+02   -0.43008E-03   -0.35676E+02    0.10122E+01   -0.87305E-06   -0.43008E-03   -0.87305E-06    0.11902E-06
   121    0.33837E+04   -0.36239E+02   -0.42156E-03   -0.36239E+02    0.10212E+01   -0.88781E-06   -0.42156E-03   -0.88781E-06    0.11819E-06
   122    0.34181E+04   -0.36791E+02   -0.41324E-03   -0.36791E+02    0.10297E+01   -0.90343E-06   -0.41324E-03   -0.90343E-06    0.11736E-06
   123    0.34524E+04   -0.37332E+02   -0.40512E-03   -0.37332E+02    0.10377E+01   -0.91967E-06   -0.40512E-03   -0.91967E-06    0.11654E-06
   124    0.34869E+04   -0.37859E+02   -0.39718E-03   -0.37859E+02    0.10454E+01   -0.93626E-06   -0.39718E-03   -0.93626E-06    0.11572E-06
   125    0.35214E+04   -0.38375E+02   -0.38943E-03   -0.38375E+02    0.10526E+01   -0.95294E-06   -0.38943E-03   -0.95294E-06    0.11492E-06
   126    0.35559E+04   -0.38879E+02   -0.38186E-03   -0.38879E+02    0.10594E+01   -0.96945E-06   -0.38186E-03   -0.96945E-06    0.11412E-06
   127    0.35904E+04   -0.39370E+02   -0.37446E-03   -0.39370E+02    0.10657E+01   -0.98554E-06   -0.37446E-03   -0.98554E-06    0.11333E-06
   128    0.36249E+04   -0.39846E+02   -0.36722E-03   -0.39846E+02    0.10717E+01   -0.10009E-05   -0.36722E-03   -0.10009E-05    0.11255E-06
   129    0.36595E+04   -0.40309E+02   -0.36013E-03   -0.40309E+02    0.10771E+01   -0.10154E-05   -0.36013E-03   -0.10154E-05    0.11177E-06
   130    0.36941E+04   -0.40755E+02   -0.35320E-03   -0.40755E+02    0.10819E+01   -0.10286E-05   -0.35320E-03   -0.10286E-05    0.11101E-06
   131    0.37286E+04   -0.41188E+02   -0.34641E-03   -0.41188E+02    0.10864E+01   -0.10404E-05   -0.34641E-03   -0.10404E-05    0.11025E-06
   132    0.37633E+04   -0.41603E+02   -0.33976E-03   -0.41603E+02    0.10904E+01   -0.10509E-05   -0.33976E-03   -0.10509E-05    0.10950E-06
   133    0.37978E+04   -0.42004E+02   -0.33326E-03   -0.42004E+02    0.10940E+01   -0.10599E-05   -0.33326E-03   -0.10599E-05    0.10875E-06
   134    0.38324E+04   -0.42386E+02   -0.32688E-03   -0.42386E+02    0.10970E+01   -0.10676E-05   -0.32688E-03   -0.10676E-05    0.10801E-06
   135    0.38669E+04   -0.42752E+02   -0.32064E-03   -0.42752E+02    0.10996E+01   -0.10740E-05   -0.32064E-03   -0.10740E-05    0.10728E-06
   136    0.39013E+04   -0.43098E+02   -0.31453E-03   -0.43098E+02    0.11016E+01   -0.10792E-05   -0.31453E-03   -0.10792E-05    0.10656E-06
   137    0.39357E+04   -0.43426E+02   -0.30855E-03   -0.43426E+02    0.11032E+01   -0.10831E-05   -0.30855E-03   -0.10831E-05    0.10584E-06
   138    0.39700E+04   -0.43735E+02   -0.30269E-03   -0.43735E+02    0.11043E+01   -0.10860E-05   -0.30269E-03   -0.10860E-05    0.10514E-06
   139    0.40040E+04   -0.44025E+02   -0.29695E-03   -0.44025E+02    0.11049E+01   -0.10877E-05   -0.29695E-03   -0.10877E-05    0.10443E-06
   140    0.40382E+04   -0.44295E+02   -0.29134E-03   -0.44295E+02    0.11050E+01   -0.10884E-05   -0.29134E-03   -0.10884E-05    0.10374E-06
   141    0.40721E+04   -0.44544E+02   -0.28584E-03   -0.44544E+02    0.11046E+01   -0.10881E-05   -0.28584E-03   -0.10881E-05    0.10305E-06
   142    0.41060E+04   -0.44773E+02   -0.28045E-03   -0.44773E+02    0.11037E+01   -0.10868E-05   -0.28045E-03   -0.10868E-05    0.10237E-06
   143    0.41399E+04   -0.44982E+02   -0.27518E-03   -0.44982E+02    0.11023E+01   -0.10845E-05   -0.27518E-03   -0.10845E-05    0.10169E-06
   144    0.41735E+04   -0.45169E+02   -0.27002E-03   -0.45169E+02    0.11004E+01   -0.10815E-05   -0.27002E-03   -0.10815E-05    0.10102E-06
   145    0.42070E+04   -0.45335E+02   -0.26496E-03   -0.45335E+02    0.10982E+01   -0.10776E-05   -0.26496E-03   -0.10776E-05    0.10036E-06
   146    0.42405E+04   -0.45479E+02   -0.26001E-03   -0.45479E+02    0.10954E+01   -0.10729E-05   -0.26001E-03   -0.10729E-05    0.99701E-07
   147    0.42737E+04   -0.45599E+02   -0.25516E-03   -0.45599E+02    0.10921E+01   -0.10675E-05   -0.25516E-03   -0.10675E-05    0.99051E-07
   148    0.43067E+04   -0.45698E+02   -0.25040E-03   -0.45698E+02    0.10884E+01   -0.10614E-05   -0.25040E-03   -0.10614E-05    0.98406E-07
   149    0.43397E+04   -0.45774E+02   -0.24575E-03   -0.45774E+02    0.10842E+01   -0.10546E-05   -0.24575E-03   -0.10546E-05    0.97768E-07
   150    0.43724E+04   -0.45824E+02   -0.24118E-03   -0.45824E+02    0.10796E+01   -0.10473E-05   -0.24118E-03   -0.10473E-05    0.97135E-07
   151    0.44049E+04   -0.45852E+02   -0.23671E-03   -0.45852E+02    0.10746E+01   -0.10394E-05   -0.23671E-03   -0.10394E-05    0.96509E-07
   152    0.44372E+04   -0.45855E+02   -0.23232E-03   -0.45855E+02    0.10691E+01   -0.10309E-05   -0.23232E-03   -0.10309E-05    0.95888E-07
   153    0.44693E+04   -0.45833E+02   -0.22802E-03   -0.45833E+02    0.10632E+01   -0.10220E-05   -0.22802E-03   -0.10220E-05    0.95273E-07
   154    0.45012E+04   -0.45787E+02   -0.22381E-03   -0.45787E+02    0.10569E+01   -0.10126E-05   -0.22381E-03   -0.10126E-05    0.94664E-07
   155    0.45328E+04   -0.45716E+02   -0.21968E-03   -0.45716E+02    0.10502E+01   -0.10027E-05   -0.21968E-03   -0.10027E-05    0.94060E-07
   156    0.45641E+04   -0.45621E+02   -0.21564E-03   -0.45621E+02    0.10432E+01   -0.99240E-06   -0.21564E-03   -0.99240E-06    0.93463E-07
   157    0.45953E+04   -0.45499E+02   -0.21167E-03   -0.45499E+02    0.10358E+01   -0.98166E-06   -0.21167E-03   -0.98166E-06    0.92870E-07
   158    0.46262E+04   -0.45351E+02   -0.20778E-03   -0.45351E+02    0.10281E+01   -0.97053E-06   -0.20778E-03   -0.97053E-06    0.92283E-07
   159    0.46569E+04   -0.45179E+02   -0.20397E-03   -0.45179E+02    0.10199E+01   -0.95902E-06   -0.20397E-03   -0.95902E-06    0.91702E-07
   160    0.46873E+04   -0.44979E+02   -0.20023E-03   -0.44979E+02    0.10115E+01   -0.94715E-06   -0.20023E-03   -0.94715E-06    0.91126E-07
   161    0.47174E+04   -0.44753E+02   -0.19657E-03   -0.44753E+02    0.10028E+01   -0.93496E-06   -0.19657E-03   -0.93496E-06    0.90555E-07
   162    0.47473E+04   -0.44502E+02   -0.19297E-03   -0.44502E+02    0.99377E+00   -0.92245E-06   -0.19297E-03   -0.92245E-06    0.89990E-07
   163    0.47770E+04   -0.44224E+02   -0.18945E-03   -0.44224E+02    0.98443E+00   -0.90966E-06   -0.18945E-03   -0.90966E-06    0.89430E-07
   164    0.48063E+04   -0.43920E+02   -0.18600E-03   -0.43920E+02    0.97486E+00   -0.89660E-06   -0.18600E-03   -0.89660E-06    0.88875E-07
   165    0.48354E+04   -0.43589E+02   -0.18261E-03   -0.43589E+02    0.96499E+00   -0.88330E-06   -0.18261E-03   -0.88330E-06    0.88325E-07
   166    0.48642E+04   -0.43231E+02   -0.17929E-03   -0.43231E+02    0.95497E+00   -0.86977E-06   -0.17929E-03   -0.86977E-06    0.87780E-07
   167    0.48927E+04   -0.42847E+02   -0.17602E-03   -0.42847E+02    0.94458E+00   -0.85604E-06   -0.17602E-03   -0.85604E-06    0.87240E-07
   168    0.49209E+04   -0.42435E+02   -0.17282E-03   -0.42435E+02    0.93419E+00   -0.84213E-06   -0.17282E-03   -0.84213E-06    0.86706E-07
   169    0.49487E+04   -0.41996E+02   -0.16968E-03   -0.41996E+02    0.92351E+00   -0.82807E-06   -0.16968E-03   -0.82807E-06    0.86176E-07
   170    0.49761E+04   -0.41530E+02   -0.16660E-03   -0.41530E+02    0.91275E+00   -0.81387E-06   -0.16660E-03   -0.81387E-06    0.85651E-07
   171    0.50032E+04   -0.41035E+02   -0.16357E-03   -0.41035E+02    0.90191E+00   -0.79955E-06   -0.16357E-03   -0.79955E-06    0.85131E-07
   172    0.50298E+04   -0.40513E+02   -0.16060E-03   -0.40513E+02    0.89093E+00   -0.78514E-06   -0.16060E-03   -0.78514E-06    0.84616E-07
   173    0.50560E+04   -0.39964E+02   -0.15768E-03   -0.39964E+02    0.87980E+00   -0.77067E-06   -0.15768E-03   -0.77067E-06    0.84105E-07
   174    0.50819E+04   -0.39387E+02   -0.15481E-03   -0.39387E+02    0.86882E+00   -0.75614E-06   -0.15481E-03   -0.75614E-06    0.83599E-07
